,index,NbCommentaire,NbIngredients,Note,Plat,Temps,accompagnement,amusegueule,boisson,confiserie,dessert,entree,ingredient,platprincipal,sauce,vegan,vegetarien
742,743,40,8,"3,8",Falafels,33,0,0,0,0,0,0,"['levure', 'pois-chiches', 'huile', 'persil', 'ail', 'coriandre', 'cumin', 'oignon']",1,0,1,1
743,744,3,11,"4,7",Cheesecake sans cuisson caramel noisettes et chocolat individuel,30,0,0,0,0,1,0,"['cacao', 'noisettes', 'gelatine', 'fromage-frais', 'chocolat-au-lait', 'creme-liquide', 'beurre', 'sucre-en-poudre', 'boudoir']",0,0,0,0
744,745,2,3,4,Choux de Bruxelles frits,20,1,0,0,0,0,0,"['chou-de-bruxelles', 'huile-de-friture', 'parmesan']",0,0,0,1
745,746,38,11,"4,8",Petit framboisier,35,0,0,0,0,1,0,"['amandes', 'coulis', 'kirsch', 'farine', 'sucre-glace', 'oeuf', 'beurre', 'creme', 'levure-chimique', 'sucre', 'framboises']",0,0,0,1
746,747,20,10,"4,9",Gâteau aux figues et aux noix,55,0,0,0,0,1,0,"['amandes', 'levure', 'rhum', 'farine', 'sucre', 'oeuf', 'beurre', 'noix', 'figue', 'sel']",0,0,0,1
747,748,1,12,5,Gâteau étoile façon pièce montée,70,0,0,0,0,1,0,"['blanc-d-oeuf', 'citron', 'cacao', 'farine', 'sucre-glace', 'oeuf', 'beurre', 'fecule', 'sucre-en-poudre', 'sucre']",0,0,0,1
748,749,35,7,"4,5",Ramequins de crème au chocolat,25,0,0,0,0,1,0,"['sucre-semoule', 'lait', 'oeuf', 'eau', 'beurre', 'maizena', 'chocolat']",0,0,0,1
749,750,68,6,"4,8",Gâteau moelleux à la crème de marron,50,0,0,0,0,1,0,"['rhum', 'farine', 'oeuf', 'beurre', 'creme-de-marron']",0,0,0,1
750,751,1,6,4,Apple roses en pâte filo,60,0,0,0,0,1,0,"['jus-de-citron', 'pate-filo', 'pomme', 'beurre', 'sucre', 'vanille']",0,0,0,1
751,752,171,5,"4,7",Crumble de tomates,65,1,0,0,0,0,0,"['tomate', 'huile-d-olive', 'parmesan', 'chapelure', 'oignon']",0,0,0,1
752,753,56,3,4,Génoise,50,0,0,0,0,1,0,"['oeuf', 'farine', 'sucre']",0,0,0,1
753,754,5,7,"4,2",Clafoutis léger à la mangue,60,0,0,0,0,1,0,"['passoa', 'oeuf', 'sucre-vanille', 'fromage-blanc', 'fleur-de-mais-maizena', 'mangue', 'sucre']",0,0,0,0
754,755,24,12,"4,5",Verrines aux fruits et aux 3 chocolats,45,0,0,0,0,1,0,"['chocolat-noir', 'crepe-dentelle', 'poire', 'chocolat-au-lait', 'ananas', 'kiwi', 'oeuf', 'pomme', 'banane', 'chocolat-blanc', 'creme']",0,0,0,1
755,756,215,7,"4,6",Tarte Bounty (choco-coco),50,0,0,0,0,1,0,"['creme-fraiche-liquide', 'chocolat-noir', 'sucre-semoule', 'noix-de-coco', 'oeuf', 'beurre', 'pate-sablee']",0,0,0,1
756,757,23,5,"4,9",Saumon cru mariné ('gravad lax' en suédois) ,1465,0,0,0,0,0,0,"['saumon', 'aneth', 'sucre-en-poudre', 'gros-sel', 'poivre']",1,0,0,0
757,758,228,8,"4,7",Courgettes farcies,70,0,0,0,0,0,0,"['huile-d-olive', 'coulis-de-tomate', 'fromage-rape', 'courgette', 'poivre', 'porc', 'oignon', 'sel']",1,0,0,0
758,759,31,10,"4,9",Soupe asiatique aux crevettes et à la coriandre,26,0,0,0,0,0,1,"['crevette', 'lait-de-coco', 'pois-gourmand', 'bouillon', 'citron-vert', 'ail', 'sel', 'coriandre', 'echalote', 'gingembre']",0,0,0,0
759,760,6,6,"4,3",Smoothie aux baies,5,0,0,1,0,0,0,"['extrait-de-vanille', 'lait-de-soja', 'orange', 'banane', 'framboises', 'gingembre']",0,0,1,1
760,761,75,7,"4,5",Tarte aux poires,50,0,0,0,0,1,0,"['creme-fraiche-liquide', 'jaune-d-oeuf', 'pate-feuilletee', 'poire', 'sucre-en-poudre', 'armagnac', 'poudre-d-amande']",0,0,0,1
761,762,10,3,"3,3",Pomme d'amour,15,0,0,0,0,1,0,"['pomme', 'eau', 'sucre']",0,0,1,1
762,763,20,12,"4,7",Rouleaux de printemps rapide,30,0,0,0,0,0,1,"['sauce-piquante', 'nouilles-chinoises', 'blanc-de-poulet', 'menthe', 'laitue', 'bouillon', 'ail', 'galette-de-riz', 'miel', 'vanille', 'carotte', 'gingembre']",0,0,0,0
763,764,167,8,"4,7",Cake aux carambars,60,0,0,0,0,1,0,"['glace-vanille', 'farine', 'lait', 'carambar', 'oeuf', 'beurre', 'levure-chimique', 'sucre']",0,0,0,1
764,765,5,4,5,Oranais aux abricots,55,0,0,0,0,1,0,"['creme-patissiere', 'abricot', 'jaune-d-oeuf', 'pate-feuilletee']",0,0,0,1
765,766,115,7,"4,6",Riz cantonais facile,50,0,0,0,0,0,0,"['crevette', 'petit-pois', 'riz', 'huile', 'oeuf', 'jambon', 'oignon']",1,0,0,0
766,767,150,3,"4,7",Palmiers pour l'apéritif!,30,0,1,0,0,0,0,"['gruyere-rape', 'pate-feuilletee', 'jambon-blanc']",0,0,0,0
767,768,10,6,"4,5",Congolais coco-choco-noisette,30,0,0,0,0,1,0,"['blanc-d-oeuf', 'noisettes', 'huile', 'noix-de-coco-rapee', 'chocolat', 'sucre']",0,0,0,1
768,769,254,6,"4,6",Crumble aux pommes,45,0,0,0,0,1,0,"['sucre-semoule', 'glace-vanille', 'farine', 'pomme', 'beurre', 'cannelle']",0,0,0,1
769,770,0,12,0,Crumble banane chocolat speculoos revisité façon glacé,50,0,0,0,0,1,0,"['farine', 'creme-liquide', 'lait', 'sucre-glace', 'banane', 'beurre', 'chocolat', 'cannelle', 'biscuit-sec', 'sucre']",0,0,0,1
770,771,13,9,"4,9",Purée de potimarron à ma façon,70,1,0,0,0,0,0,"['muscade', 'pomme-de-terre', 'potimarron', 'creme-fraiche', 'beurre', 'curry', 'poivre', 'carotte', 'sel']",0,0,0,1
771,772,12,12,"4,8",Burger aux galettes de pommes de terre,25,0,0,0,0,0,0,"['steak', 'cheddar', 'pomme-de-terre', 'tomate', 'huile-d-olive', 'farine', 'ketchup', 'oeuf', 'mayonnaise', 'poivre', 'oignon', 'sel']",1,0,0,0
772,773,5,10,"4,6",Truite saumonée en croûte,60,0,0,0,0,0,0,"['jus-de-citron', 'echalote', 'jaune-d-oeuf', 'pate-feuilletee', 'oignon', 'truite-saumonee', 'poivre', 'herbes', 'ail', 'sel']",1,0,0,0
773,774,56,6,"4,7",Rôti de veau au four,75,0,0,0,0,0,0,"['champignon-de-paris', 'huile-de-tournesol', 'poivre', 'roti-de-veau', 'ail', 'sel']",1,0,0,0
774,775,337,7,"4,5",Gâteau rapide au citron,35,0,0,0,0,1,0,"['citron', 'farine', 'huile', 'oeuf', 'levure-chimique', 'sucre', 'sel']",0,0,0,1
775,776,21,9,"4,9",Chèvre chaud sur polenta au pesto,37,0,0,0,0,0,1,"['chevre', 'huile-d-olive', 'basilic', 'lait', 'polenta', 'pignons', 'poivre', 'ail', 'sel']",0,0,0,1
776,777,24,5,"4,8",Petits feuilletés aux pommes et au chèvre,40,0,1,0,0,0,0,"['jaune-d-oeuf', 'pate-feuilletee', 'pomme', 'fromage-de-chevre', 'miel']",0,0,0,1
777,778,42,16,"4,4",Pad Thai,45,0,0,0,0,0,0,"['germes-de-soja', 'basilic', 'menthe', 'sucre-roux', 'huile', 'oignon', 'oeuf', 'vinaigre', 'paprika', 'ail', 'escalope-de-poulet', 'piment', 'arachide', 'nuoc-mam', 'pates', 'sel']",1,0,0,0
778,779,49,7,"4,7",Croziflette,70,0,0,0,0,0,0,"['lardons', 'crozet', 'reblochon', 'creme-fraiche', 'poivre', 'oignon', 'sel']",1,0,0,0
779,780,170,3,"4,3",Semoule au lait toute simple,12,0,0,0,0,1,0,"['semoule', 'sucre', 'lait']",0,0,0,1
780,781,143,11,"4,9",Délice aux framboises et aux fruits de la passion,50,0,0,0,0,1,0,"['copeaux-de-chocolat-blanc', 'coulis-framboise', 'coulis-de-fruits-de-la-passion', 'farine', 'gelatine', 'oeuf', 'creme-fraiche', 'gelee', 'pate-d-amande', 'sucre']",0,0,0,0
781,782,13,8,"4,8",Salade grecque à l'origan,10,0,0,0,0,0,1,"['tomate', 'olives-noires', 'oignon-rouge', 'huile-d-olive', 'origan', 'sel', 'concombre', 'feta']",0,0,0,1
782,783,54,12,"4,3",Clafoutis courgettes mozzarella,50,1,0,0,0,0,0,"['mozzarella', 'huile-d-olive', 'farine', 'courgette', 'lait', 'oeuf', 'creme-fraiche', 'beurre', 'persil', 'poivre', 'ail', 'sel']",0,0,0,1
783,784,91,9,"4,1",Pâte à crêpe rapide,10,0,0,0,0,1,0,"['cafe', 'sucre-semoule', 'rhum', 'farine', 'huile', 'lait', 'oeuf', 'sucre-vanille', 'beurre']",0,0,0,1
